[   0.0m] =================================================================
[   0.0m] SSEE-V3.6 — MCMC PROFESIONAL (overnight)
[  91.0m]     wₐ           = -0.92274  +0.43956/-0.47321
[  91.0m]     Ω_b·h²       = 0.02237  +0.00015/-0.00015
[  91.0m] 
  r_d(SSEE)=175.15 Mpc  r_d(ΛCDM)=147.78 Mpc  ratio=1.185
[  91.0m]   H₀(SSEE)=67.76±0.44  Planck=67.36±0.54  tensión=0.57σ
[  91.0m]   Ω_m tensión SSEE vs Planck: 21.27σ
[  91.0m] 
  PPC — Cosmic Chronometers χ²_r:
[  91.0m]     SSEE-V3.6     : 0.475
[  91.0m]     ΛCDM          : 0.459
[  91.0m]     CPL           : 0.499
[  91.0m] 
Generando figuras...
[  91.5m] 
Figuras guardadas en results/figures/
[  91.5m] Cadenas guardadas en results/logs/mcmc_chains_professional.npz
[  91.5m] Tiempo total: 1.52h
[  91.5m] FIN MCMC PROFESIONAL
