# Matter power spectrum P(k) at redshift z=0
# for k=1.04182e-05 to 5.31614 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.691575254787e-02       2.173718842328e+04 
       2.705317350684e-02       2.166659408528e+04 
       2.719079542731e-02       2.159645952948e+04 
       2.732862286975e-02       2.152523859527e+04 
       2.746666051308e-02       2.145419089842e+04 
       2.760491315823e-02       2.138306265368e+04 
       2.774338573187e-02       2.131113732896e+04 
       2.788208329022e-02       2.123964298789e+04 
       2.802101102303e-02       2.116714743342e+04 
       2.816017425776e-02       2.109455226199e+04 
       2.829957846381e-02       2.102188274276e+04 
       2.843922925704e-02       2.094894913001e+04 
       2.857913240437e-02       2.087585282130e+04 
       2.871929382858e-02       2.080252246220e+04 
       2.885971961336e-02       2.072942036968e+04 
       2.900041600848e-02       2.065553814212e+04 
       2.914138943520e-02       2.058133635206e+04 
       2.928264649192e-02       2.050727916628e+04 
       2.942419396003e-02       2.043299423534e+04 
       2.956603880999e-02       2.035857698963e+04 
       2.970818820773e-02       2.028407684698e+04 
       2.985064952123e-02       2.020929544423e+04 
       2.999343032743e-02       2.013444941516e+04 
       3.013653841940e-02       2.005956234353e+04 
       3.027998181388e-02       1.998441950757e+04 
       3.042376875906e-02       1.990921810249e+04 
       3.056790774277e-02       1.983386129364e+04 
       3.071240750097e-02       1.975885261442e+04 
       3.085727702669e-02       1.968303893302e+04 
       3.100252557928e-02       1.960742028452e+04 
       3.114816269417e-02       1.953169806632e+04 
       3.129419819299e-02       1.945626483599e+04 
       3.144064219422e-02       1.938020712141e+04 
       3.158750512431e-02       1.930429532900e+04 
       3.173479772930e-02       1.922827519193e+04 
       3.188253108701e-02       1.915237253834e+04 
       3.203071661982e-02       1.907646382753e+04 
       3.217936610808e-02       1.900026910360e+04 
       3.232849170409e-02       1.892416027595e+04 
       3.247810594686e-02       1.884806195173e+04 
       3.262822177758e-02       1.877206030917e+04 
       3.277885255581e-02       1.869563655133e+04 
       3.293001207655e-02       1.861954994296e+04 
       3.308171458819e-02       1.854345821217e+04 
       3.323397481132e-02       1.846718401505e+04 
       3.338680795856e-02       1.839100207658e+04 
       3.354022975546e-02       1.831477573873e+04 
       3.369425646247e-02       1.823839955159e+04 
       3.384890489813e-02       1.816223575523e+04 
       3.400419246348e-02       1.808602090635e+04 
       3.416013716784e-02       1.801000824779e+04 
       3.431675765601e-02       1.793367776225e+04 
       3.447407323705e-02       1.785741861994e+04 
       3.463210391457e-02       1.778152190324e+04 
       3.479087041894e-02       1.770518952349e+04 
       3.495039424118e-02       1.762915298300e+04 
       3.511069766901e-02       1.755314300461e+04 
       3.527180382493e-02       1.747726935899e+04 
       3.543373670664e-02       1.740126518108e+04 
       3.559652122994e-02       1.732527219225e+04 
       3.576018327421e-02       1.724935418221e+04 
       3.592474973077e-02       1.717356171195e+04 
       3.609024855433e-02       1.709768851494e+04 
       3.625670881763e-02       1.702195565218e+04 
       3.642416076971e-02       1.694627392179e+04 
       3.659263589793e-02       1.687048979738e+04 
       3.676216699417e-02       1.679487791381e+04 
       3.693278822546e-02       1.671936286043e+04 
       3.710453520935e-02       1.664368185556e+04 
       3.727744509463e-02       1.656831583994e+04 
       3.745155664756e-02       1.649274628300e+04 
       3.762691034428e-02       1.641725218005e+04 
       3.780354846989e-02       1.634181658636e+04 
       3.798151522468e-02       1.626646271454e+04 
       3.816085683828e-02       1.619114990604e+04 
       3.834162169234e-02       1.611604303332e+04 
       3.852386045257e-02       1.604063723188e+04 
       3.870762621097e-02       1.596538830928e+04 
       3.889297463916e-02       1.589014369640e+04 
       3.907996415399e-02       1.581493673212e+04 
       3.926865609650e-02       1.573983728510e+04 
       3.945911492553e-02       1.566470700242e+04 
       3.965140842750e-02       1.558947040514e+04 
       3.984560794397e-02       1.551462143888e+04 
       4.004178861876e-02       1.543930457932e+04 
       4.024002966666e-02       1.536420585658e+04 
       4.044041466614e-02       1.528907382053e+04 
       4.064303187844e-02       1.521387152629e+04 
       4.084797459609e-02       1.513880936356e+04 
       4.105534152403e-02       1.506348655904e+04 
       4.126523719711e-02       1.498833813936e+04 
       4.147777243805e-02       1.491304597610e+04 
       4.169306486074e-02       1.483781269606e+04 
       4.191123942415e-02       1.476249466051e+04 
       4.213242904309e-02       1.468698597435e+04 
       4.235677526294e-02       1.461160776569e+04 
       4.258442900622e-02       1.453599934217e+04 
       4.281555140053e-02       1.446034012812e+04 
       4.305031469827e-02       1.438454001114e+04 
       4.328890330076e-02       1.430864580591e+04 
       4.353151490070e-02       1.423289543510e+04 
       4.377836175987e-02       1.415646397865e+04 
       4.402967214107e-02       1.408010032147e+04 
       4.428569191696e-02       1.400356075392e+04 
       4.454668638221e-02       1.392684600943e+04 
       4.481294229972e-02       1.384983167843e+04 
       4.508477021768e-02       1.377263970934e+04 
       4.536250710054e-02       1.369521601166e+04 
       4.564651932510e-02       1.361751971554e+04 
       4.593720610292e-02       1.353942604736e+04 
       4.623500340197e-02       1.346135483658e+04 
       4.654038845520e-02       1.338236236593e+04 
       4.685388496165e-02       1.330321450139e+04 
       4.717606910793e-02       1.322328215522e+04 
       4.750757656523e-02       1.314320601170e+04 
       4.784911065150e-02       1.306253082147e+04 
       4.820145189073e-02       1.298115360354e+04 
       4.856546925537e-02       1.289914135890e+04 
       4.894213344480e-02       1.281656129195e+04 
       4.933253263863e-02       1.273304140391e+04 
       4.973789127135e-02       1.264925330111e+04 
       5.015959251259e-02       1.256342980232e+04 
       5.059920531261e-02       1.247712202814e+04 
       5.105851709581e-02       1.238947124515e+04 
       5.153957346968e-02       1.230087700596e+04 
       5.204472667753e-02       1.221090954725e+04 
       5.257669497677e-02       1.211897020502e+04 
       5.313863568669e-02       1.202540291139e+04 
       5.373423532697e-02       1.192949976592e+04 
       5.436782104518e-02       1.183095643001e+04 
       5.504449833833e-02       1.172958784709e+04 
       5.577032072517e-02       1.162472482095e+04 
       5.655249709935e-02       1.151624963273e+04 
       5.739964110242e-02       1.140230566328e+04 
       5.832206223718e-02       1.128293573238e+04 
       5.933208727715e-02       1.115587803896e+04 
       6.044437697227e-02       1.101916327199e+04 
       6.167615789942e-02       1.087116728546e+04 
       6.304721108736e-02       1.070763959398e+04 
       6.457934235152e-02       1.052426134661e+04 
       6.629493111842e-02       1.031502667708e+04 
       6.821412828801e-02       1.007332728648e+04 
       7.035059718961e-02       9.791596973447e+03 
       7.270662632813e-02       9.463701994358e+03 
       7.526974414766e-02       9.086715495310e+03 
       7.801334698080e-02       8.663690620179e+03 
       8.090195757974e-02       8.204309486724e+03 
       8.389864139478e-02       7.724700598712e+03 
       8.697098696894e-02       7.243547712594e+03 
       9.009383965504e-02       6.779497719529e+03 
       9.324928964874e-02       6.348254410248e+03 
       9.642530761694e-02       5.961147568442e+03 
